Date_HPSC,Hospitals,TotalLabs,NonHospitals,Positive,PRate,Test24,Test7,Pos7,PosR7,FID,Hospitals24h,TotalLabs24h,NonHospitals24h,Positive24h,PosR24h,ConfirmedCovidCases,TotalConfirmedCovidCases,Pos24h-ConfCovCases
2020/03/18 11:00:00+00,9,6457,6448,395,6.1,0,0,0,0,1,0,0,0,0,0,74,366,0
2020/03/19 11:00:00+00,40,7403,7363,465,6.3,946,0,0,0,2,31,946,915,70,7.4,191,557,121
2020/03/20 11:00:00+00,599,8872,8273,570,6.4,1469,0,0,0,3,559,1469,910,105,7.1,126,683,-21
2020/03/21 11:00:00+00,1261,10436,9175,625,6,1564,0,0,0,4,662,1564,902,55,3.5,102,785,-47
2020/03/22 11:00:00+00,1370,11414,10044,744,6.5,978,0,0,0,5,109,978,869,119,12.2,121,906,-2
2020/03/23 11:00:00+00,2944,13995,11051,857,6.1,2581,0,0,0,6,1574,2581,1007,113,4.4,219,1125,-106
2020/03/24 11:00:00+00,3360,15561,12201,986,6.3,1566,0,0,0,7,416,1566,1150,129,8.2,204,1329,-75
2020/03/25 11:00:00+00,3865,17336,13471,1136,6.6,1775,10879,741,6.8,8,505,1775,1270,150,8.5,235,1564,-85
2020/03/26 11:00:00+00,5975,20712,14737,1584,7.6,3376,13309,1119,8.4,9,2110,3376,1266,448,13.3,255,1819,193
2020/03/27 11:00:00+00,7721,23653,15932,1891,8,2941,14781,1321,8.9,10,1746,2941,1195,307,10.4,302,2121,5
2020/03/28 11:00:00+00,8583,25859,17276,2555,9.9,2206,15423,1930,12.5,11,862,2206,1344,664,30.1,294,2415,370
2020/03/29 11:00:00+00,9417,27475,18058,2843,10.3,1616,16061,2099,13.1,12,834,1616,782,288,17.8,200,2625,88
2020/03/30 11:00:00+00,10192,28872,18680,3279,11.4,1397,14877,2422,16.3,13,775,1397,622,436,31.2,295,2910,141
2020/03/31 11:00:00+00,11204,30800,19596,3657,11.9,1928,15239,2671,17.5,14,1012,1928,916,378,19.6,325,3235,53
2020/04/01 11:00:00+00,12613,32809,20196,4073,12.4,2009,15473,2937,19,15,1409,2009,600,416,20.7,212,3447,204
2020/04/02 11:00:00+00,13731,34784,21053,4440,12.8,1975,14072,2856,20.3,16,1118,1975,857,367,18.6,402,3849,-35
2020/04/03 11:00:00+00,14707,36641,21934,4910,13.4,1857,12988,3019,23.2,17,976,1857,881,470,25.3,424,4273,46
2020/04/04 11:00:00+00,15846,38490,22644,5370,14,1849,12631,2815,22.3,18,1139,1849,710,460,24.9,331,4604,129
2020/04/05 11:00:00+00,16976,41321,24345,5688,13.8,2831,13846,2845,20.5,19,1130,2831,1701,318,11.2,390,4994,-72
2020/04/06 11:00:00+00,17852,47438,29586,6543,13.8,6117,18566,3264,17.6,20,876,6117,5241,855,14,748,5859,107
2020/04/07 11:00:00+00,18734,49291,30557,7038,14.3,1853,18491,3381,18.3,21,882,1853,971,495,26.7,365,6224,130
2020/04/08 11:00:00+00,20161,53019,32858,7657,14.4,3728,20210,3584,17.7,22,1427,3728,2301,619,16.6,464,6688,155
2020/04/09 11:00:00+00,21678,58506,36828,8466,14.5,5487,23722,4026,17,23,1517,5487,3970,809,14.7,705,7393,104
2020/04/10 11:00:00+00,23225,65465,42240,9300,14.2,6959,28824,4390,15.2,24,1547,6959,5412,834,12,696,8089,138
2020/04/11 11:00:00+00,24663,72455,47792,10519,14.5,6990,33965,5149,15.2,25,1438,6990,5552,1219,17.4,553,8928,666
2020/04/12 11:00:00+00,25497,78177,52680,11436,14.6,5722,36856,5748,15.6,26,834,5722,4888,917,16,430,9655,487
2020/04/13 11:00:00+00,26422,86604,60182,12813,14.8,8427,39166,6270,16,27,925,8427,7502,1377,16.3,527,10647,850
2020/04/14 11:00:00+00,27475,90879,63404,13690,15.1,4275,41588,6652,16,28,1053,4275,3222,877,20.5,548,11478,329
2020/04/15 11:00:00+00,28661,93915,65254,14343,15.3,3036,40896,6686,16.3,29,1186,3036,1850,653,21.5,657,12547,-4
2020/04/16 11:00:00+00,30295,97559,67264,15068,15.4,3644,39053,6602,16.9,30,1634,3644,2010,725,19.9,629,13271,96
2020/04/17 11:00:00+00,31643,101870,70227,15978,15.7,4311,36405,6678,18.3,31,1348,4311,2963,910,21.1,597,13980,313
2020/04/18 11:00:00+00,33261,104123,70862,16415,15.8,2253,31668,5896,18.6,32,1618,2253,635,437,19.4,630,14758,-193
2020/04/19 11:00:00+00,34430,106436,72006,16789,15.8,2313,28259,5353,18.9,33,1169,2313,1144,374,16.2,445,15251,-71
2020/04/20 11:00:00+00,35690,108062,72372,17021,15.8,1626,21458,4208,19.6,34,1260,1626,366,232,14.3,401,15652,-169
2020/04/21 11:00:00+00,37151,111819,74668,17728,15.9,3757,20940,4038,19.3,35,1461,3757,2296,707,18.8,388,16040,319
